iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","41","2","Successful request",,,"1","1","0","0"
"1","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","7","46","Successful request",,,"1","1","0","0"
"1","Todos API","/todos/{id}","GET","localhost:8080/api/todos/1","OK","200","4","46","Successful request",,,"1","1","0","0"
"1","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/1","OK","200","5","9","Successful request",,,"1","1","0","0"
"1","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/1","OK","200","4","9","Successful request",,,"1","1","0","0"
"2","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","6","2","Successful request",,,"1","1","0","0"
"2","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","6","46","Successful request",,,"1","1","0","0"
"2","Todos API","/todos/{id}","GET","localhost:8080/api/todos/2","OK","200","4","46","Successful request",,,"1","1","0","0"
"2","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/2","OK","200","4","9","Successful request",,,"1","1","0","0"
"2","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/2","OK","200","4","9","Successful request",,,"1","1","0","0"
"3","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"3","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","5","46","Successful request",,,"1","1","0","0"
"3","Todos API","/todos/{id}","GET","localhost:8080/api/todos/3","OK","200","3","46","Successful request",,,"1","1","0","0"
"3","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/3","OK","200","4","9","Successful request",,,"1","1","0","0"
"3","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/3","OK","200","3","9","Successful request",,,"1","1","0","0"
"4","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"4","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","6","46","Successful request",,,"1","1","0","0"
"4","Todos API","/todos/{id}","GET","localhost:8080/api/todos/4","OK","200","3","46","Successful request",,,"1","1","0","0"
"4","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/4","OK","200","4","9","Successful request",,,"1","1","0","0"
"4","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/4","OK","200","4","9","Successful request",,,"1","1","0","0"
"5","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","5","2","Successful request",,,"1","1","0","0"
"5","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","5","46","Successful request",,,"1","1","0","0"
"5","Todos API","/todos/{id}","GET","localhost:8080/api/todos/5","OK","200","3","46","Successful request",,,"1","1","0","0"
"5","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/5","OK","200","3","9","Successful request",,,"1","1","0","0"
"5","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/5","OK","200","3","9","Successful request",,,"1","1","0","0"
"6","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"6","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","7","46","Successful request",,,"1","1","0","0"
"6","Todos API","/todos/{id}","GET","localhost:8080/api/todos/6","OK","200","3","46","Successful request",,,"1","1","0","0"
"6","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/6","OK","200","5","9","Successful request",,,"1","1","0","0"
"6","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/6","OK","200","3","9","Successful request",,,"1","1","0","0"
"7","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"7","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","46","Successful request",,,"1","1","0","0"
"7","Todos API","/todos/{id}","GET","localhost:8080/api/todos/7","OK","200","3","46","Successful request",,,"1","1","0","0"
"7","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/7","OK","200","3","9","Successful request",,,"1","1","0","0"
"7","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/7","OK","200","3","9","Successful request",,,"1","1","0","0"
"8","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","3","2","Successful request",,,"1","1","0","0"
"8","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","46","Successful request",,,"1","1","0","0"
"8","Todos API","/todos/{id}","GET","localhost:8080/api/todos/8","OK","200","3","46","Successful request",,,"1","1","0","0"
"8","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/8","OK","200","3","9","Successful request",,,"1","1","0","0"
"8","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/8","OK","200","3","9","Successful request",,,"1","1","0","0"
"9","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"9","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","46","Successful request",,,"1","1","0","0"
"9","Todos API","/todos/{id}","GET","localhost:8080/api/todos/9","OK","200","2","46","Successful request",,,"1","1","0","0"
"9","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/9","OK","200","3","9","Successful request",,,"1","1","0","0"
"9","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/9","OK","200","3","9","Successful request",,,"1","1","0","0"
"10","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"10","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"10","Todos API","/todos/{id}","GET","localhost:8080/api/todos/10","OK","200","2","47","Successful request",,,"1","1","0","0"
"10","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/10","OK","200","4","9","Successful request",,,"1","1","0","0"
"10","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/10","OK","200","3","9","Successful request",,,"1","1","0","0"
"11","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","3","2","Successful request",,,"1","1","0","0"
"11","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"11","Todos API","/todos/{id}","GET","localhost:8080/api/todos/11","OK","200","2","47","Successful request",,,"1","1","0","0"
"11","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/11","OK","200","4","9","Successful request",,,"1","1","0","0"
